"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-16","2020","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-17","2020","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-18","2020","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-19","2020","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-20","2020","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-21","2020","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-22","2020","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-23","2020","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-24","2020","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-25","2020","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-26","2020","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-27","2020","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-28","2020","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-29","2020","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-30","2020","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-03-31","2020","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-01","2020","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-02","2020","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-03","2020","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-04","2020","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-05","2020","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-06","2020","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-07","2020","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-08","2020","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-09","2020","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-10","2020","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-11","2020","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-12","2020","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-13","2020","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-14","2020","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-15","2020","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-16","2020","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-17","2020","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-18","2020","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-19","2020","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-20","2020","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-21","2020","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-22","2020","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-23","2020","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-24","2020","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-25","2020","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-26","2020","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-27","2020","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-28","2020","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-29","2020","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-04-30","2020","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-01","2020","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-02","2020","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-03","2020","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-04","2020","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-05","2020","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-06","2020","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-07","2020","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-08","2020","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-09","2020","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-10","2020","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-11","2020","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-12","2020","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-13","2020","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-14","2020","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-15","2020","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-16","2020","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-17","2020","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-18","2020","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-19","2020","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-20","2020","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-21","2020","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-22","2020","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-23","2020","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-24","2020","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-25","2020","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-26","2020","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-27","2020","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-28","2020","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-29","2020","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-30","2020","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-05-31","2020","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-01","2020","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-02","2020","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-03","2020","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-04","2020","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-05","2020","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-06","2020","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-07","2020","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-08","2020","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-09","2020","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-10","2020","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-11","2020","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-12","2020","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-13","2020","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-14","2020","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-15","2020","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-16","2020","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-17","2020","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-18","2020","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-19","2020","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-20","2020","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-21","2020","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-22","2020","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-23","2020","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-24","2020","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-25","2020","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-26","2020","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-27","2020","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-28","2020","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-29","2020","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-06-30","2020","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-01","2020","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-02","2020","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-03","2020","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-04","2020","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-05","2020","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-06","2020","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-07","2020","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-08","2020","07","08","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-09","2020","07","09","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-10","2020","07","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-11","2020","07","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-12","2020","07","12","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-13","2020","07","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-14","2020","07","14","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-15","2020","07","15","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-16","2020","07","16","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-17","2020","07","17","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-18","2020","07","18","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-119.99","74.14","NANGMAGVIK LAKE","2500440","2020-07-19","2020","07","19","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
